PGDP_ID Provider_ID Provider Genus Species Origin Sex callset_index C_origin
PD_0269 126 Knauf/Chuma/Roos Papio cynocephalus "Mikumi, Tanzania" M 51 "Mikumi, Tanzania"
PD_0270 127 Knauf/Chuma/Roos Papio cynocephalus "Mikumi, Tanzania" F 52 "Mikumi, Tanzania"
PD_0271 128 Knauf/Chuma/Roos Papio cynocephalus "Mikumi, Tanzania" F 53 "Mikumi, Tanzania"
PD_0272 129 Knauf/Chuma/Roos Papio cynocephalus "Mikumi, Tanzania" F 54 "Mikumi, Tanzania"
PD_0390 T13 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" F 55 "Niokolo-Koba, Senegal"
PD_0391 T19 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" F 56 "Niokolo-Koba, Senegal"
PD_0392 T44 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" F 57 "Niokolo-Koba, Senegal"
PD_0393 T45 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" F 58 "Niokolo-Koba, Senegal"
PD_0394 T63 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" F 59 "Niokolo-Koba, Senegal"
PD_0395 T15 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 60 "Niokolo-Koba, Senegal"
PD_0396 T27 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 61 "Niokolo-Koba, Senegal"
PD_0397 T35 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 62 "Niokolo-Koba, Senegal"
PD_0398 T37 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 63 "Niokolo-Koba, Senegal"
PD_0399 T49 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 64 "Niokolo-Koba, Senegal"
PD_0400 T51 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 65 "Niokolo-Koba, Senegal"
PD_0401 T66 Zinner/Fischer Papio papio "Niokolo-Koba, Senegal" M 66 "Niokolo-Koba, Senegal"
PD_0492 "1 / 30LMF5190416" Knauf/Chuma/Roos Papio anubis "Lake Manyara, Tanzania" F 67 "Lake Manyara, Tanzania"
PD_0493 "12 / 08SNM1091115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" M 68 "Serengeti, Tanzania"
PD_0494 "18 / 24SNM5151115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" M 69 "Serengeti, Tanzania"
PD_0495 "19 / 25SNF1161115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F 70 "Serengeti, Tanzania"
PD_0496 "20 / 26SNM1181115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" M 71 "Serengeti, Tanzania"
PD_0497 "21 / 27SNM1191115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" M 72 "Serengeti, Tanzania"
PD_0498 "23 / 31SNM1201115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" M 73 "Serengeti, Tanzania"
PD_0499 "24 / 32SNF1201115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F 74 "Serengeti, Tanzania"
PD_0500 "25 / 33SNF1201115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F 75 "Serengeti, Tanzania"
PD_0501 "26 / 37SNF1221115" Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F 76 "Serengeti, Tanzania"
PD_0502 "38 / 10NCM8170516" Knauf/Chuma/Roos Papio anubis "Ngorongoro, Tanzania" M 77 "Northern Tanzania"
PD_0503 "44 / 14RUF5130716" Knauf/Chuma/Roos Papio cynocephalus "Ruaha, Tanzania" F 78 "Central Tanzania"
PD_0504 "56 / 13GNM1210916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" M 79 "Gombe, Tanzania"
PD_0505 "57 / 19GNM2220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" M 80 "Gombe, Tanzania"
PD_0506 "58 / 20GNF5220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 81 "Gombe, Tanzania"
PD_0507 "59 / 21GNF1220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 82 "Gombe, Tanzania"
PD_0508 "60 / 22GNM1220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" M 83 "Gombe, Tanzania"
PD_0509 "61 / 23GNF1220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 84 "Gombe, Tanzania"
PD_0637 "9 / 5MKM1130715" Knauf/Chuma/Roos Papio cynocephalus "Mikumi, Tanzania" M 85 "Mikumi, Tanzania"
PD_0641 "31 / 15TNF2261215" Knauf/Chuma/Roos Papio anubis "Tarangire, Tanzania" F 86 "Northern Tanzania"
PD_0642 "32 / 23TNM1311215" Knauf/Chuma/Roos Papio anubis "Tarangire, Tanzania" M 87 "Northern Tanzania"
PD_0649 "62 / 24GNF1220916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 88 "Gombe, Tanzania"
PD_0650 "63 / 26GNM1230916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" M 89 "Gombe, Tanzania"
PD_0651 "64 / 28GNF1230916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 90 "Gombe, Tanzania"
PD_0652 "65 / 30GNF1230916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 91 "Gombe, Tanzania"
PD_0653 "66 / 32GNF1230916" Knauf/Chuma/Roos Papio anubis "Gombe, Tanzania" F 92 "Gombe, Tanzania"
