genus	n	sex	s_het	average_het	singletons	all_shared_het	above_hw	total_het	both_f_m	het_all
Pygathrix_nemaeus	3	female	20278.00000	8559.66667	0.76166	0.02801	0.02801	21480.00000	0.05005	0.00279
Sapajus_apella	3	male	816.00000	411.33333	0.64216	0.15441	0.15441	4607.00000	0.06707	0.00369
Sapajus_apella	3	female	4100.00000	1575.00000	0.85683	0.00927	0.00927	4607.00000	0.06707	0.00369
Rhinopithecus_roxellana	4	male	54115.00000	29342.75000	0.41719	0.21756	0.36855	319596.00000	0.05036	0.00073
Rhinopithecus_roxellana	4	female	281576.00000	114378.25000	0.53719	0.00187	0.16015	319596.00000	0.05036	0.00073
Trachypithecus_phayrei	1	male	10339.00000	10339.00000	1.00000	1.00000	0.00000	26935.00000	0.14401	0.14401
Trachypithecus_phayrei	1	female	20475.00000	20475.00000	1.00000	1.00000	0.00000	26935.00000	0.14401	0.14401
genus	n	sex	s_het	average_het	singletons	all_shared_het	above_hw	total_het	both_f_m	het_all
Atele_fusciceps	14	male	77537.00000	13911.71429	0.56692	0.00391	0.08035	399595.00000	0.09170	0.00002
Atele_fusciceps	14	female	358702.00000	44904.07143	0.60347	0.00005	0.00846	399595.00000	0.09170	0.00002
Aotus_nancymaae	6	male	24786.00000	10411.66667	0.47745	0.12620	0.28439	105367.00000	0.08476	0.00357
Aotus_nancymaae	6	female	89512.00000	24792.00000	0.67284	0.00932	0.10333	105367.00000	0.08476	0.00357
Pithecia_pithecia	21	male	127094.00000	15714.19048	0.49876	0.00089	0.01618	686421.00000	0.08702	0.00000
Pithecia_pithecia	21	female	619062.00000	45311.76190	0.67526	0.00000	0.00121	686421.00000	0.08702	0.00000
Cebus_albifrons	7	male	18654.00000	4522.71429	0.68409	0.00236	0.06588	60073.00000	0.10238	0.00017
Cebus_albifrons	7	female	47569.00000	9177.42857	0.72722	0.00080	0.00423	60073.00000	0.10238	0.00017
Cercopithecus_mitis	1	male	21040.00000	21040.00000	1.00000	1.00000	0.00000	143761.00000	0.01579	0.01579
Cercopithecus_mitis	1	female	124991.00000	124991.00000	1.00000	1.00000	0.00000	143761.00000	0.01579	0.01579
Gorilla_gorilla_gorilla	5	male	178461.00000	114810.60000	0.24684	0.35279	0.49659	551534.00000	0.03205	0.00022
Gorilla_gorilla_gorilla	5	female	390747.00000	153233.60000	0.41177	0.01328	0.08673	551534.00000	0.03205	0.00022
Hoolock_hoolock	3	male	6034.00000	3733.33333	0.45641	0.31256	0.31256	27102.00000	0.13350	0.01978
Hoolock_hoolock	3	female	24686.00000	10467.66667	0.76663	0.03873	0.03873	27102.00000	0.13350	0.01978
